GIORNO,DATA,REGIONE,POSITIVI,DIMESSI,DECEDUTI,CASI TOTALI,Rt,P.TamponiPos,P.PostiNorm.,P.Posti.ICU,,V-1,V-7,V-1,V-7,V-1,V-7,V-1,V-7,M-7,V-1,V-7,V-1,V-7,V-1,V-7
0,24/02/2020,ABRUZZO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
0,24/02/2020,BASILICATA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
0,24/02/2020,CALABRIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,CAMPANIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,EMILIA ROMAGNA,18,0,0,18,,,"0,16%","0,26%",,18,,0,,0,,18,,,"0,16%",,"0,26%",,"12,16%",
0,24/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,LAZIO,2,1,0,3,,,"0,02%","0,11%",,2,,1,,0,,3,,,"0,02%",,"0,11%",,"2,42%",
0,24/02/2020,LIGURIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,LOMBARDIA,166,0,6,172,,,"0,74%","1,52%",,166,,0,,6,,172,,,"0,74%",,"1,52%",,"11,76%",
0,24/02/2020,MARCHE,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,MOLISE,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
0,24/02/2020,BOLZANO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,TRENTO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,PIEMONTE,3,0,0,3,,,"0,03%","0,00%",,3,,0,,0,,3,,,"0,03%",,"0,00%",,"2,13%",
0,24/02/2020,PUGLIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
0,24/02/2020,SARDEGNA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,SICILIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,TOSCANA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,UMBRIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
0,24/02/2020,VA.AOSTA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
0,24/02/2020,VENETO,32,0,1,33,,,"0,20%","0,40%",,32,,0,,1,,33,,,"0,20%",,"0,40%",,"1,50%",
1,25/02/2020,ABRUZZO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,BASILICATA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
1,25/02/2020,CALABRIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,CAMPANIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,EMILIA ROMAGNA,26,0,0,26,,,"0,24%","0,26%",,8,,0,,0,,8,,,"0,08%",,"0,00%",,"-5,51%",
1,25/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,LAZIO,2,1,0,3,,,"0,02%","0,11%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,LIGURIA,1,0,0,1,,,"0,06%","0,00%",,1,,0,,0,,1,,,"0,06%",,"0,00%",,"2,56%",
1,25/02/2020,LOMBARDIA,231,0,9,240,,,"0,77%","2,00%",,65,,0,,3,,68,,,"0,03%",,"0,48%",,"-5,27%",
1,25/02/2020,MARCHE,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,MOLISE,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
1,25/02/2020,BOLZANO,1,0,0,1,,,"0,19%","0,00%",,1,,0,,0,,1,,,"0,19%",,"0,00%",,"100,00%",
1,25/02/2020,TRENTO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,PIEMONTE,3,0,0,3,,,"0,03%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,PUGLIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
1,25/02/2020,SARDEGNA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,SICILIA,3,0,0,3,,,"0,02%","0,00%",,3,,0,,0,,3,,,"0,02%",,"0,00%",,"60,00%",
1,25/02/2020,TOSCANA,2,0,0,2,,,"0,04%","0,00%",,2,,0,,0,,2,,,"0,04%",,"0,00%",,"0,68%",
1,25/02/2020,UMBRIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
1,25/02/2020,VA.AOSTA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
1,25/02/2020,VENETO,42,0,1,43,,,"0,20%","0,70%",,10,,0,,0,,10,,,"0,00%",,"0,30%",,"-0,36%",
2,26/02/2020,ABRUZZO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,BASILICATA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
2,26/02/2020,CALABRIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,CAMPANIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,EMILIA ROMAGNA,46,0,1,47,,,"0,33%","0,40%",,20,,0,,1,,21,,,"0,08%",,"0,13%",,"1,50%",
2,26/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,LAZIO,0,3,0,3,,,"0,00%","0,00%",,-2,,2,,0,,0,,,"-0,02%",,"-0,11%",,"0,00%",
2,26/02/2020,LIGURIA,11,0,0,11,,,"0,34%","0,00%",,10,,0,,0,,10,,,"0,28%",,"0,00%",,"14,10%",
2,26/02/2020,LOMBARDIA,249,0,9,258,,,"0,77%","2,00%",,18,,0,,0,,18,,,"0,00%",,"0,00%",,"1,56%",
2,26/02/2020,MARCHE,1,0,0,1,,,"0,09%","0,00%",,1,,0,,0,,1,,,"0,09%",,"0,00%",,"3,57%",
2,26/02/2020,MOLISE,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,,
2,26/02/2020,BOLZANO,1,0,0,1,,,"0,19%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,TRENTO,0,0,0,0,,,"0,00%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%",
2,26/02/2020,PIEMONTE,3,0,0,3,,,"0,03%","0,00%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"-0,20%",
